perm_id,setting_id,flags_json,primary_label,flags
4818.0,focus_0065,"{""BRE"": false, ""FM/EM"": true, ""APD"": false, ""DCO"": false, ""GD"": false, ""Other"": false}",FM/EM,FM/EM
4818.0,focus_0066,"{""BRE"": false, ""FM/EM"": true, ""APD"": false, ""DCO"": false, ""GD"": false, ""Other"": false}",FM/EM,FM/EM
4818.0,focus_0067,"{""BRE"": false, ""FM/EM"": true, ""APD"": false, ""DCO"": false, ""GD"": false, ""Other"": false}",FM/EM,FM/EM
4818.0,focus_0068,"{""BRE"": false, ""FM/EM"": true, ""APD"": false, ""DCO"": false, ""GD"": false, ""Other"": false}",FM/EM,FM/EM
4818.0,focus_0069,"{""BRE"": false, ""FM/EM"": true, ""APD"": false, ""DCO"": false, ""GD"": false, ""Other"": false}",FM/EM,FM/EM
4818.0,focus_0070,"{""BRE"": false, ""FM/EM"": true, ""APD"": false, ""DCO"": false, ""GD"": false, ""Other"": false}",FM/EM,FM/EM
4818.0,focus_0071,"{""BRE"": false, ""FM/EM"": true, ""APD"": false, ""DCO"": false, ""GD"": false, ""Other"": false}",FM/EM,FM/EM
4818.0,focus_0072,"{""BRE"": false, ""FM/EM"": true, ""APD"": false, ""DCO"": false, ""GD"": false, ""Other"": false}",FM/EM,FM/EM
4818.0,focus_0073,"{""BRE"": false, ""FM/EM"": true, ""APD"": false, ""DCO"": false, ""GD"": false, ""Other"": false}",FM/EM,FM/EM
4818.0,focus_0074,"{""BRE"": false, ""FM/EM"": true, ""APD"": false, ""DCO"": false, ""GD"": false, ""Other"": false}",FM/EM,FM/EM
4818.0,focus_0075,"{""BRE"": false, ""FM/EM"": true, ""APD"": false, ""DCO"": false, ""GD"": false, ""Other"": false}",FM/EM,FM/EM
4818.0,focus_0076,"{""BRE"": false, ""FM/EM"": true, ""APD"": false, ""DCO"": false, ""GD"": false, ""Other"": false}",FM/EM,FM/EM
4818.0,focus_0077,"{""BRE"": false, ""FM/EM"": true, ""APD"": false, ""DCO"": false, ""GD"": false, ""Other"": false}",FM/EM,FM/EM
4818.0,focus_0078,"{""BRE"": false, ""FM/EM"": true, ""APD"": false, ""DCO"": false, ""GD"": false, ""Other"": false}",FM/EM,FM/EM
4818.0,focus_0079,"{""BRE"": false, ""FM/EM"": true, ""APD"": false, ""DCO"": false, ""GD"": false, ""Other"": false}",FM/EM,FM/EM
4818.0,focus_0080,"{""BRE"": false, ""FM/EM"": true, ""APD"": false, ""DCO"": false, ""GD"": false, ""Other"": false}",FM/EM,FM/EM
4818.0,focus_0081,"{""BRE"": false, ""FM/EM"": true, ""APD"": false, ""DCO"": false, ""GD"": false, ""Other"": false}",FM/EM,FM/EM
4818.0,focus_0082,"{""BRE"": false, ""FM/EM"": true, ""APD"": false, ""DCO"": false, ""GD"": false, ""Other"": false}",FM/EM,FM/EM
4818.0,focus_0083,"{""BRE"": false, ""FM/EM"": true, ""APD"": false, ""DCO"": false, ""GD"": false, ""Other"": false}",FM/EM,FM/EM
4818.0,focus_0084,"{""BRE"": false, ""FM/EM"": true, ""APD"": false, ""DCO"": false, ""GD"": false, ""Other"": false}",FM/EM,FM/EM
4818.0,focus_0085,"{""BRE"": false, ""FM/EM"": true, ""APD"": false, ""DCO"": false, ""GD"": false, ""Other"": false}",FM/EM,FM/EM
4818.0,focus_0086,"{""BRE"": false, ""FM/EM"": true, ""APD"": false, ""DCO"": false, ""GD"": false, ""Other"": false}",FM/EM,FM/EM
4818.0,focus_0087,"{""BRE"": false, ""FM/EM"": true, ""APD"": false, ""DCO"": false, ""GD"": false, ""Other"": false}",FM/EM,FM/EM
4818.0,focus_0088,"{""BRE"": false, ""FM/EM"": true, ""APD"": false, ""DCO"": false, ""GD"": false, ""Other"": false}",FM/EM,FM/EM
4818.0,focus_0089,"{""BRE"": false, ""FM/EM"": true, ""APD"": false, ""DCO"": false, ""GD"": false, ""Other"": false}",FM/EM,FM/EM
4818.0,focus_0090,"{""BRE"": false, ""FM/EM"": true, ""APD"": false, ""DCO"": false, ""GD"": false, ""Other"": false}",FM/EM,FM/EM
4818.0,focus_0091,"{""BRE"": false, ""FM/EM"": true, ""APD"": false, ""DCO"": false, ""GD"": false, ""Other"": false}",FM/EM,FM/EM
4818.0,focus_0092,"{""BRE"": false, ""FM/EM"": true, ""APD"": false, ""DCO"": false, ""GD"": false, ""Other"": false}",FM/EM,FM/EM
4818.0,focus_0093,"{""BRE"": false, ""FM/EM"": true, ""APD"": false, ""DCO"": false, ""GD"": false, ""Other"": false}",FM/EM,FM/EM
4818.0,focus_0094,"{""BRE"": false, ""FM/EM"": true, ""APD"": false, ""DCO"": false, ""GD"": false, ""Other"": false}",FM/EM,FM/EM
4818.0,focus_0095,"{""BRE"": false, ""FM/EM"": true, ""APD"": false, ""DCO"": false, ""GD"": false, ""Other"": false}",FM/EM,FM/EM
4818.0,focus_0096,"{""BRE"": false, ""FM/EM"": true, ""APD"": false, ""DCO"": false, ""GD"": false, ""Other"": false}",FM/EM,FM/EM
4818.0,focus_0097,"{""BRE"": false, ""FM/EM"": true, ""APD"": false, ""DCO"": false, ""GD"": false, ""Other"": false}",FM/EM,FM/EM
4818.0,oat_disp_kappa_scaled_0.5,"{""BRE"": false, ""FM/EM"": true, ""APD"": false, ""DCO"": false, ""GD"": false, ""Other"": false}",FM/EM,FM/EM
4818.0,oat_disp_kappa_scaled_0.75,"{""BRE"": false, ""FM/EM"": true, ""APD"": false, ""DCO"": false, ""GD"": false, ""Other"": false}",FM/EM,FM/EM
