perm_id,modal_label,modal_fraction,stability_score,multilabel_union
350.0,Other,1.0,1.0,Other
351.0,Other,0.9248704663212435,0.9248704663212435,APD;Other
352.0,Other,1.0,1.0,Other
353.0,Other,0.9818652849740933,0.9818652849740933,APD;Other
354.0,Other,0.9637305699481865,0.9637305699481865,APD;Other
355.0,Other,1.0,1.0,Other
356.0,Other,1.0,1.0,Other
357.0,Other,0.9637305699481865,0.9637305699481865,APD;Other
358.0,Other,0.9637305699481865,0.9637305699481865,APD;Other
359.0,Other,1.0,1.0,Other
360.0,Other,0.9455958549222798,0.9455958549222798,APD;Other
361.0,Other,0.9637305699481865,0.9637305699481865,APD;Other
362.0,Other,0.9818652849740933,0.9818652849740933,APD;Other
363.0,Other,0.9637305699481865,0.9637305699481865,APD;Other
364.0,Other,1.0,1.0,Other
365.0,Other,1.0,1.0,Other
366.0,Other,1.0,1.0,Other
367.0,Other,0.9637305699481865,0.9637305699481865,APD;Other
368.0,Other,0.9637305699481865,0.9637305699481865,APD;Other
369.0,Other,0.9455958549222798,0.9455958549222798,APD;Other
370.0,Other,1.0,1.0,Other
371.0,Other,0.8523316062176166,0.8523316062176166,APD;FM/EM;Other
372.0,Other,0.9637305699481865,0.9637305699481865,APD;Other
373.0,Other,1.0,1.0,Other
374.0,Other,0.9637305699481865,0.9637305699481865,APD;Other
375.0,Other,0.9637305699481865,0.9637305699481865,APD;Other
376.0,Other,1.0,1.0,Other
377.0,Other,1.0,1.0,Other
378.0,Other,1.0,1.0,Other
379.0,Other,1.0,1.0,Other
380.0,Other,0.9818652849740933,0.9818652849740933,APD;Other
381.0,Other,1.0,1.0,Other
382.0,Other,1.0,1.0,Other
383.0,Other,0.9637305699481865,0.9637305699481865,APD;Other
384.0,Other,1.0,1.0,Other
385.0,Other,1.0,1.0,Other
386.0,Other,1.0,1.0,Other
387.0,Other,1.0,1.0,Other
388.0,Other,1.0,1.0,Other
389.0,Other,1.0,1.0,Other
390.0,Other,1.0,1.0,Other
391.0,Other,1.0,1.0,Other
392.0,Other,0.8341968911917098,0.8341968911917098,APD;FM/EM;Other
393.0,Other,1.0,1.0,Other
394.0,Other,1.0,1.0,Other
395.0,Other,0.9455958549222798,0.9455958549222798,APD;Other
396.0,Other,1.0,1.0,Other
397.0,Other,1.0,1.0,Other
398.0,Other,1.0,1.0,Other
