perm_index,dK,disp_kappa_scaled,adjacency_violations,single_move,max_block_move,order_dual_proximity,score_dir,connective_density_per_100,pos_weighted_connectives,sent_connective_sd,max_sent_connectives,cluster,x,y,z,motif
18,0.5,29.932110373652023,5,5,1,0.5,0.3129315457357451,0.0,0.0,0.0,0.0,0,8.470084232956373e-18,5.652000082201327e-19,2.922049182974334e-18,Other
19,0.5,27.545972888626988,4,7,1,0.5,0.3140124844075418,0.0,0.0,0.0,0.0,0,8.470084232956373e-18,5.652000082201327e-19,2.922049182974334e-18,FM/EM
20,0.2857142857142857,17.418772258434736,3,5,3,0.7142857142857143,0.45028840266653,0.0,0.0,0.0,0.0,0,8.470084232956373e-18,5.652000082201327e-19,2.922049182974334e-18,Other
21,0.5,30.78241366332125,3,6,2,0.5,0.3125855765467435,0.0,0.0,0.0,0.0,0,8.470084232956373e-18,5.652000082201327e-19,2.922049182974334e-18,Other
22,0.6785714285714286,39.24107263732887,4,7,1,0.3214285714285714,0.2027972357469369,0.0,0.0,0.0,0.0,0,0.16688165382588296,-0.05621788047560213,-0.010817999197986454,GD
23,0.3571428571428571,20.342529684302782,4,4,2,0.6428571428571429,0.4044562064667351,0.0,0.0,0.0,0.0,0,8.470084232956373e-18,5.652000082201327e-19,2.922049182974334e-18,Other
24,0.5,30.413434542488165,3,6,2,0.5,0.3127334054943588,0.0,0.0,0.0,0.0,0,8.470084232956373e-18,5.652000082201327e-19,2.922049182974334e-18,Other
25,0.6428571428571429,38.63665287896946,4,7,1,0.3571428571428571,0.2243773837619791,0.0,0.0,0.0,0.0,0,8.470084232956373e-18,5.652000082201327e-19,2.922049182974334e-18,GD
26,0.4285714285714285,20.06965411379893,3,7,3,0.5714285714285714,0.3618417924313393,0.0,0.0,0.0,0.0,0,3.499595760784051e-17,-1.2427544111616695e-17,7.96774770660137e-18,Other
27,0.6071428571428571,38.03162329655012,3,6,2,0.3928571428571428,0.2459623862598593,0.0,0.0,0.0,0.0,0,8.470084232956373e-18,5.652000082201327e-19,2.922049182974334e-18,GD
28,0.2142857142857142,12.188682993470003,2,4,2,0.7857142857142857,0.501757604296982,0.0,0.0,0.0,0.0,0,8.470084232956373e-18,5.652000082201327e-19,2.922049182974334e-18,BRE
29,0.25,10.673689997734847,2,4,3,0.75,0.4842650867101675,0.0,0.0,0.0,0.0,0,8.470084232956373e-18,5.652000082201327e-19,2.922049182974334e-18,Other
30,0.4285714285714285,23.27740064211105,5,4,1,0.5714285714285714,0.359333371342089,0.0,0.0,0.0,0.0,0,8.470084232956373e-18,5.652000082201327e-19,2.922049182974334e-18,Other
